fips5,county_name,util_practice_desc,v
96,FOREST,GRAIN,9.0
122,LANGLADE,GRAIN,47.0
130,MARINETTE,GRAIN,114.0
133,MENOMINEE,GRAIN,1.0
138,OCONTO,GRAIN,218.0
170,SHAWANO,GRAIN,422.0
66,BUFFALO,GRAIN,420.0
88,DUNN,GRAIN,417.0
90,EAU CLAIRE,GRAIN,320.0
108,JACKSON,GRAIN,272.0
118,LA CROSSE,GRAIN,285.0
136,MONROE,GRAIN,524.0
146,PEPIN,GRAIN,152.0
148,PIERCE,GRAIN,394.0
164,ST CROIX,GRAIN,397.0
176,TREMPEALEAU,GRAIN,464.0
56,ADAMS,GRAIN,111.0
102,GREEN LAKE,GRAIN,239.0
112,JUNEAU,GRAIN,215.0
132,MARQUETTE,GRAIN,140.0
152,PORTAGE,GRAIN,316.0
190,WAUPACA,GRAIN,307.0
192,WAUSHARA,GRAIN,187.0
196,WOOD,GRAIN,262.0
64,BROWN,GRAIN,221.0
70,CALUMET,GRAIN,196.0
84,DOOR,GRAIN,116.0
94,FOND DU LAC,GRAIN,530.0
116,KEWAUNEE,GRAIN,194.0
126,MANITOWOC,GRAIN,300.0
142,OUTAGAMIE,GRAIN,407.0
172,SHEBOYGAN,GRAIN,323.0
194,WINNEBAGO,GRAIN,270.0
78,CRAWFORD,GRAIN,259.0
98,GRANT,GRAIN,961.0
104,IOWA,GRAIN,479.0
120,LAFAYETTE,GRAIN,421.0
158,RICHLAND,GRAIN,297.0
166,SAUK,GRAIN,514.0
178,VERNON,GRAIN,640.0
76,COLUMBIA,GRAIN,544.0
80,DANE,GRAIN,789.0
82,DODGE,GRAIN,712.0
100,GREEN,GRAIN,441.0
110,JEFFERSON,GRAIN,406.0
160,ROCK,GRAIN,528.0
114,KENOSHA,GRAIN,93.0
134,MILWAUKEE,GRAIN,6.0
144,OZAUKEE,GRAIN,90.0
156,RACINE,GRAIN,169.0
182,WALWORTH,GRAIN,271.0
186,WASHINGTON,GRAIN,215.0
188,WAUKESHA,GRAIN,88.0
60,BARRON,SILAGE,13508.0
62,BAYFIELD,SILAGE,839.0
68,BURNETT,SILAGE,3326.0
72,CHIPPEWA,SILAGE,13621.0
86,DOUGLAS,SILAGE,249.0
150,POLK,SILAGE,8869.0
162,RUSK,SILAGE,7568.0
168,SAWYER,SILAGE,1674.0
184,WASHBURN,SILAGE,1690.0
58,ASHLAND,SILAGE,1909.0
74,CLARK,SILAGE,40281.0
106,IRON,SILAGE,
124,LINCOLN,SILAGE,3217.0
128,MARATHON,SILAGE,39717.0
140,ONEIDA,SILAGE,81.0
154,PRICE,SILAGE,3155.0
174,TAYLOR,SILAGE,11238.0
92,FLORENCE,SILAGE,
96,FOREST,SILAGE,130.0
122,LANGLADE,SILAGE,5851.0
130,MARINETTE,SILAGE,16413.0
138,OCONTO,SILAGE,15942.0
170,SHAWANO,SILAGE,32484.0
66,BUFFALO,SILAGE,8641.0
88,DUNN,SILAGE,18298.0
90,EAU CLAIRE,SILAGE,4314.0
108,JACKSON,SILAGE,5642.0
118,LA CROSSE,SILAGE,3195.0
136,MONROE,SILAGE,12894.0
146,PEPIN,SILAGE,6752.0
148,PIERCE,SILAGE,6750.0
164,ST CROIX,SILAGE,10217.0
176,TREMPEALEAU,SILAGE,11774.0
56,ADAMS,SILAGE,5663.0
102,GREEN LAKE,SILAGE,6971.0
112,JUNEAU,SILAGE,4939.0
132,MARQUETTE,SILAGE,3727.0
152,PORTAGE,SILAGE,13951.0
190,WAUPACA,SILAGE,20204.0
192,WAUSHARA,SILAGE,6885.0
196,WOOD,SILAGE,9251.0
64,BROWN,SILAGE,32166.0
70,CALUMET,SILAGE,17427.0
84,DOOR,SILAGE,8224.0
94,FOND DU LAC,SILAGE,29612.0
116,KEWAUNEE,SILAGE,31739.0
126,MANITOWOC,SILAGE,37729.0
142,OUTAGAMIE,SILAGE,22082.0
172,SHEBOYGAN,SILAGE,25373.0
194,WINNEBAGO,SILAGE,10969.0
78,CRAWFORD,SILAGE,2709.0
98,GRANT,SILAGE,21352.0
104,IOWA,SILAGE,10155.0
120,LAFAYETTE,SILAGE,10007.0
158,RICHLAND,SILAGE,8384.0
166,SAUK,SILAGE,9401.0
178,VERNON,SILAGE,13511.0
76,COLUMBIA,SILAGE,10300.0
80,DANE,SILAGE,26189.0
82,DODGE,SILAGE,21119.0
100,GREEN,SILAGE,9624.0
110,JEFFERSON,SILAGE,9825.0
160,ROCK,SILAGE,6159.0
114,KENOSHA,SILAGE,2203.0
144,OZAUKEE,SILAGE,5504.0
156,RACINE,SILAGE,2154.0
182,WALWORTH,SILAGE,13526.0
186,WASHINGTON,SILAGE,6682.0
188,WAUKESHA,SILAGE,398.0
60,BARRON,SILAGE,124.0
62,BAYFIELD,SILAGE,19.0
68,BURNETT,SILAGE,26.0
72,CHIPPEWA,SILAGE,124.0
86,DOUGLAS,SILAGE,7.0
150,POLK,SILAGE,65.0
162,RUSK,SILAGE,61.0
168,SAWYER,SILAGE,10.0
184,WASHBURN,SILAGE,11.0
58,ASHLAND,SILAGE,9.0
74,CLARK,SILAGE,394.0
106,IRON,SILAGE,2.0
124,LINCOLN,SILAGE,31.0
128,MARATHON,SILAGE,289.0
140,ONEIDA,SILAGE,3.0
154,PRICE,SILAGE,26.0
174,TAYLOR,SILAGE,107.0
92,FLORENCE,SILAGE,3.0
96,FOREST,SILAGE,4.0
122,LANGLADE,SILAGE,45.0
130,MARINETTE,SILAGE,60.0
138,OCONTO,SILAGE,90.0
170,SHAWANO,SILAGE,160.0
66,BUFFALO,SILAGE,97.0
88,DUNN,SILAGE,87.0
90,EAU CLAIRE,SILAGE,62.0
108,JACKSON,SILAGE,75.0
118,LA CROSSE,SILAGE,52.0
136,MONROE,SILAGE,159.0
146,PEPIN,SILAGE,39.0
148,PIERCE,SILAGE,62.0
164,ST CROIX,SILAGE,65.0
176,TREMPEALEAU,SILAGE,90.0
56,ADAMS,SILAGE,17.0
102,GREEN LAKE,SILAGE,62.0
112,JUNEAU,SILAGE,54.0
132,MARQUETTE,SILAGE,26.0
152,PORTAGE,SILAGE,86.0
190,WAUPACA,SILAGE,110.0
192,WAUSHARA,SILAGE,45.0
196,WOOD,SILAGE,91.0
64,BROWN,SILAGE,137.0
70,CALUMET,SILAGE,82.0
84,DOOR,SILAGE,44.0
94,FOND DU LAC,SILAGE,151.0
116,KEWAUNEE,SILAGE,120.0
126,MANITOWOC,SILAGE,131.0
142,OUTAGAMIE,SILAGE,118.0
172,SHEBOYGAN,SILAGE,114.0
194,WINNEBAGO,SILAGE,44.0
78,CRAWFORD,SILAGE,60.0
98,GRANT,SILAGE,212.0
104,IOWA,SILAGE,138.0
120,LAFAYETTE,SILAGE,124.0
158,RICHLAND,SILAGE,91.0
166,SAUK,SILAGE,94.0
178,VERNON,SILAGE,180.0
76,COLUMBIA,SILAGE,82.0
80,DANE,SILAGE,167.0
82,DODGE,SILAGE,144.0
100,GREEN,SILAGE,96.0
110,JEFFERSON,SILAGE,51.0
160,ROCK,SILAGE,61.0
114,KENOSHA,SILAGE,19.0
144,OZAUKEE,SILAGE,39.0
156,RACINE,SILAGE,21.0
182,WALWORTH,SILAGE,50.0
186,WASHINGTON,SILAGE,49.0
188,WAUKESHA,SILAGE,14.0
60,BARRON,GRAIN,7316.0
68,BURNETT,GRAIN,
72,CHIPPEWA,GRAIN,2823.0
150,POLK,GRAIN,775.0
168,SAWYER,GRAIN,
184,WASHBURN,GRAIN,384.0
74,CLARK,GRAIN,
128,MARATHON,GRAIN,1809.0
140,ONEIDA,GRAIN,
122,LANGLADE,GRAIN,725.0
130,MARINETTE,GRAIN,1040.0
138,OCONTO,GRAIN,
170,SHAWANO,GRAIN,
66,BUFFALO,GRAIN,2612.0
88,DUNN,GRAIN,24522.0
90,EAU CLAIRE,GRAIN,1648.0
108,JACKSON,GRAIN,658.0
118,LA CROSSE,GRAIN,990.0
136,MONROE,GRAIN,
146,PEPIN,GRAIN,1959.0
148,PIERCE,GRAIN,368.0
164,ST CROIX,GRAIN,6992.0
176,TREMPEALEAU,GRAIN,4425.0
56,ADAMS,GRAIN,9025.0
102,GREEN LAKE,GRAIN,1454.0
112,JUNEAU,GRAIN,1305.0
132,MARQUETTE,GRAIN,4336.0
152,PORTAGE,GRAIN,14470.0
190,WAUPACA,GRAIN,6594.0
192,WAUSHARA,GRAIN,12047.0
196,WOOD,GRAIN,160.0
64,BROWN,GRAIN,
70,CALUMET,GRAIN,
94,FOND DU LAC,GRAIN,
126,MANITOWOC,GRAIN,
142,OUTAGAMIE,GRAIN,
172,SHEBOYGAN,GRAIN,
194,WINNEBAGO,GRAIN,91.0
98,GRANT,GRAIN,51.0
104,IOWA,GRAIN,5013.0
120,LAFAYETTE,GRAIN,
166,SAUK,GRAIN,6545.0
178,VERNON,GRAIN,
76,COLUMBIA,GRAIN,3497.0
80,DANE,GRAIN,2709.0
82,DODGE,GRAIN,
100,GREEN,GRAIN,906.0
110,JEFFERSON,GRAIN,3829.0
160,ROCK,GRAIN,7840.0
114,KENOSHA,GRAIN,
182,WALWORTH,GRAIN,1118.0
188,WAUKESHA,GRAIN,
60,BARRON,GRAIN,28.0
68,BURNETT,GRAIN,1.0
72,CHIPPEWA,GRAIN,15.0
150,POLK,GRAIN,5.0
168,SAWYER,GRAIN,1.0
184,WASHBURN,GRAIN,4.0
74,CLARK,GRAIN,1.0
128,MARATHON,GRAIN,13.0
140,ONEIDA,GRAIN,1.0
122,LANGLADE,GRAIN,5.0
130,MARINETTE,GRAIN,7.0
138,OCONTO,GRAIN,2.0
170,SHAWANO,GRAIN,1.0
66,BUFFALO,GRAIN,13.0
88,DUNN,GRAIN,60.0
90,EAU CLAIRE,GRAIN,7.0
108,JACKSON,GRAIN,5.0
118,LA CROSSE,GRAIN,10.0
136,MONROE,GRAIN,5.0
146,PEPIN,GRAIN,10.0
148,PIERCE,GRAIN,6.0
164,ST CROIX,GRAIN,23.0
176,TREMPEALEAU,GRAIN,29.0
56,ADAMS,GRAIN,37.0
102,GREEN LAKE,GRAIN,11.0
112,JUNEAU,GRAIN,7.0
132,MARQUETTE,GRAIN,25.0
152,PORTAGE,GRAIN,69.0
190,WAUPACA,GRAIN,28.0
192,WAUSHARA,GRAIN,30.0
196,WOOD,GRAIN,5.0
64,BROWN,GRAIN,1.0
70,CALUMET,GRAIN,2.0
94,FOND DU LAC,GRAIN,1.0
126,MANITOWOC,GRAIN,1.0
142,OUTAGAMIE,GRAIN,3.0
172,SHEBOYGAN,GRAIN,1.0
194,WINNEBAGO,GRAIN,3.0
98,GRANT,GRAIN,3.0
104,IOWA,GRAIN,14.0
120,LAFAYETTE,GRAIN,2.0
166,SAUK,GRAIN,36.0
178,VERNON,GRAIN,2.0
76,COLUMBIA,GRAIN,37.0
80,DANE,GRAIN,25.0
82,DODGE,GRAIN,4.0
100,GREEN,GRAIN,7.0
110,JEFFERSON,GRAIN,16.0
160,ROCK,GRAIN,24.0
114,KENOSHA,GRAIN,1.0
182,WALWORTH,GRAIN,11.0
188,WAUKESHA,GRAIN,2.0
60,BARRON,SILAGE,1129.0
68,BURNETT,SILAGE,
72,CHIPPEWA,SILAGE,
150,POLK,SILAGE,
168,SAWYER,SILAGE,
184,WASHBURN,SILAGE,
128,MARATHON,SILAGE,661.0
122,LANGLADE,SILAGE,1867.0
130,MARINETTE,SILAGE,
138,OCONTO,SILAGE,
66,BUFFALO,SILAGE,
88,DUNN,SILAGE,3535.0
108,JACKSON,SILAGE,
118,LA CROSSE,SILAGE,
136,MONROE,SILAGE,81.0
146,PEPIN,SILAGE,690.0
164,ST CROIX,SILAGE,660.0
176,TREMPEALEAU,SILAGE,1582.0
56,ADAMS,SILAGE,3670.0
102,GREEN LAKE,SILAGE,
112,JUNEAU,SILAGE,282.0
132,MARQUETTE,SILAGE,693.0
152,PORTAGE,SILAGE,3170.0
190,WAUPACA,SILAGE,1088.0
192,WAUSHARA,SILAGE,923.0
70,CALUMET,SILAGE,
94,FOND DU LAC,SILAGE,
194,WINNEBAGO,SILAGE,600.0
104,IOWA,SILAGE,307.0
158,RICHLAND,SILAGE,
166,SAUK,SILAGE,
76,COLUMBIA,SILAGE,516.0
80,DANE,SILAGE,
82,DODGE,SILAGE,22.0
100,GREEN,SILAGE,
182,WALWORTH,SILAGE,
60,BARRON,SILAGE,8.0
68,BURNETT,SILAGE,1.0
72,CHIPPEWA,SILAGE,2.0
150,POLK,SILAGE,1.0
168,SAWYER,SILAGE,1.0
184,WASHBURN,SILAGE,2.0
128,MARATHON,SILAGE,7.0
122,LANGLADE,SILAGE,4.0
130,MARINETTE,SILAGE,1.0
138,OCONTO,SILAGE,1.0
66,BUFFALO,SILAGE,1.0
88,DUNN,SILAGE,12.0
108,JACKSON,SILAGE,1.0
118,LA CROSSE,SILAGE,1.0
136,MONROE,SILAGE,3.0
146,PEPIN,SILAGE,5.0
164,ST CROIX,SILAGE,5.0
176,TREMPEALEAU,SILAGE,6.0
56,ADAMS,SILAGE,10.0
102,GREEN LAKE,SILAGE,1.0
112,JUNEAU,SILAGE,6.0
132,MARQUETTE,SILAGE,3.0
152,PORTAGE,SILAGE,12.0
190,WAUPACA,SILAGE,7.0
192,WAUSHARA,SILAGE,7.0
70,CALUMET,SILAGE,1.0
94,FOND DU LAC,SILAGE,1.0
194,WINNEBAGO,SILAGE,6.0
104,IOWA,SILAGE,3.0
158,RICHLAND,SILAGE,1.0
166,SAUK,SILAGE,1.0
76,COLUMBIA,SILAGE,7.0
80,DANE,SILAGE,2.0
82,DODGE,SILAGE,4.0
100,GREEN,SILAGE,2.0
182,WALWORTH,SILAGE,1.0
