Scenario,Class,SubClass,Resource,Model,FIPS Code,Price Offered,Production,Production Unit
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01021,48,47.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01021,48,53,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01023,48,51.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01023,48,54.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01023,48,60.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01025,48,67.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01025,48,70.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01025,48,78.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01031,48,846.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01031,48,888.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01031,48,988.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01033,48,745.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01033,48,781.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01033,48,869.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01035,48,298.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01035,48,313.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01035,48,348.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01039,48,1037.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01039,48,1088.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01039,48,1210.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01041,48,87.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01041,48,91.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01041,48,102.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01043,48,32.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01043,48,33.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01043,48,37.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01045,48,576.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01045,48,604.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01045,48,672.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01047,48,747.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01047,48,783.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01047,48,871.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01049,48,179.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01049,48,187.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01049,48,209,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01051,48,535.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01051,48,562.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01051,48,625.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01053,48,1201.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01053,48,1261.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01053,48,1402.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01055,48,235.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01055,48,247,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01055,48,274.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01057,48,93.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01057,48,97.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01057,48,108.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01059,48,101.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01059,48,106.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01059,48,118.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01061,48,1443,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01061,48,1514.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01061,48,1683.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01063,48,110,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01063,48,115.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01063,48,128.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01065,48,116.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01065,48,122.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01065,48,136.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01067,48,1014.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01067,48,1064.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01067,48,1184,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01069,48,1605.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01069,48,1684.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01069,48,1873.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01071,48,242.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01071,48,254.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01071,48,283.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01075,48,106.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01075,48,112,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01075,48,124.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01077,48,1071.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01077,48,1124,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01077,48,1249.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01079,48,1015.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01079,48,1065.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01079,48,1184.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01081,48,110.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01081,48,116.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01081,48,129.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01083,48,1272.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01083,48,1334.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01083,48,1484.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01085,48,158.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01085,48,166.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01085,48,185,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01087,48,319.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01087,48,334.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01087,48,372.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01089,48,1906.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01089,48,2000,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01089,48,2223.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01091,48,361.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01091,48,379.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01091,48,421.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01093,48,107.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01093,48,112.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01093,48,125.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01095,48,15.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01095,48,16.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01095,48,18.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01097,48,450,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01097,48,472.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01097,48,525.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01099,48,839.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01099,48,881.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01099,48,979.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01101,48,221.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01101,48,232.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01101,48,258.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01103,48,119.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01103,48,125.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01103,48,139.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01105,48,184.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01105,48,194.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01105,48,215.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01107,48,158,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01107,48,165.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01107,48,184.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01109,48,207.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01109,48,217.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01109,48,242.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01111,48,16.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01111,48,17.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01111,48,19.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01113,48,256.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01113,48,269.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01113,48,299.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01115,48,42.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01115,48,44.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01115,48,49.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01117,48,193.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01117,48,203.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01117,48,225.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01119,48,61.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01119,48,64.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01119,48,71.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01121,48,461.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01121,48,484.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01121,48,538.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01123,48,44.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01123,48,46.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01123,48,51.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01125,48,134.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01125,48,140.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01125,48,156.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01129,48,110.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01129,48,116.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01129,48,129.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01131,48,50.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01131,48,53,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,01131,48,58.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04003,48,245.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04003,48,257.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04003,48,286.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04009,48,1329.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04009,48,1395.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04009,48,1551.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04011,48,48.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04011,48,50.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04011,48,56.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04012,48,670.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04012,48,703.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04012,48,781.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04013,48,456.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04013,48,479.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04013,48,533,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04019,48,476.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04019,48,500.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04019,48,556.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04021,48,3712.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04021,48,3895.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04021,48,4331.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04027,48,917.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04027,48,962.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,04027,48,1070.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05001,48,40.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05001,48,42.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05001,48,46.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05003,48,1393.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05003,48,1462.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05003,48,1625.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05017,48,1286.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05017,48,1349.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05017,48,1500.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05021,48,2909.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05021,48,3052.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05021,48,3394.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05031,48,6323.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05031,48,6635.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05031,48,7378.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05035,48,1442.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05035,48,1513.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05035,48,1682.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05037,48,216.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05037,48,227.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05037,48,252.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05041,48,2552.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05041,48,2678.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05041,48,2978.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05043,48,947.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05043,48,993.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05043,48,1105.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05055,48,569.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05055,48,597.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05055,48,664.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05063,48,26.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05063,48,27.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05063,48,31,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05067,48,254.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05067,48,267,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05067,48,296.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05069,48,828.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05069,48,869.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05069,48,966.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05073,48,294.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05073,48,308.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05073,48,343.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05077,48,3187.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05077,48,3344,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05077,48,3718.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05079,48,1855.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05079,48,1946.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05079,48,2164.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05081,48,107.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05081,48,112.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05081,48,125.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05085,48,553.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05085,48,580.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05085,48,645.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05091,48,814.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05091,48,855.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05091,48,950.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05093,48,7680.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05093,48,8058.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05093,48,8960.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05095,48,896.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05095,48,940.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05095,48,1045.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05107,48,2428.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05107,48,2548.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05107,48,2833.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05111,48,1838,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05111,48,1928.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05111,48,2144.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05117,48,167.2,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05117,48,175.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05117,48,195.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05119,48,90.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05119,48,94.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05119,48,105.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05123,48,2085.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05123,48,2188.1,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05123,48,2433,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05145,48,432,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05145,48,453.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05145,48,504,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05147,48,110.4,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05147,48,115.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,05147,48,128.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06011,48,26.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06011,48,27.8,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06011,48,30.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06019,48,5061.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06019,48,5310.6,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06019,48,5904.9,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06021,48,74.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06021,48,78,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06021,48,86.7,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06025,48,364.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06025,48,382.5,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06025,48,425.3,dt
emerging,agriculture land,Ag processing waste,Cotton gin trash,POLYSYS,06029,48,1032.9,dt
